0.000,600
,0.041,-160
,0.082,-980
,0.123,-290
,0.164,590
,0.205,-80
,0.246,-980
,0.287,-350
,0.328,570
,0.369,-20
,0.410,-960
,0.451,-410
,0.492,540
,0.533,30
,0.574,-920
,0.615,-470
,0.656,500
,0.697,110
,0.738,-890
,0.779,-530
,0.820,460
,0.861,170
,0.902,-830
,0.943,-610
,0.984,390
,1.025,240
,1.066,-770
,1.107,-680
,1.148,350
,1.189,290
,1.231,-720
,1.272,-720
,1.313,280
,1.354,350
,1.395,-660
,1.436,-790
,1.477,220
,1.518,400
,1.559,-600
,1.600,-840
,1.641,150
,1.682,470
,1.723,-530
,1.764,-890
,1.805,90
,1.846,490
,1.887,-470
,1.928,-920
,1.969,30
,2.010,540
,2.051,-400
,2.092,-960
,2.133,-40
,2.174,560
,2.215,-330
,2.256,-970
,2.297,-100
,2.338,580
,2.379,-280
,2.420,-980
,2.461,-160
,2.502,590
,2.543,-210
,2.584,-990
,2.625,-230
,2.666,590
,2.707,-150
,2.748,-980
,2.789,-310
,2.830,570
,2.871,-80
,2.912,-970
,2.953,-360
,2.994,560
,3.035,-20
,3.076,-950
,3.117,-420
,3.158,520
,3.199,50
,3.240,-920
,3.281,-490
,3.322,480
,3.363,110
,3.404,-890
,3.445,-560
,3.486,440
,3.527,150
,3.568,-840
,3.610,-610
,3.651,390
,3.692,240
,3.733,-770
,3.774,-680
,3.815,330
,3.856,300
,3.897,-710
,3.938,-730
,3.979,280
,4.020,350
,4.061,-650
,4.102,-790
,4.143,220
,4.184,430
,4.225,-580
,4.266,-840
,4.307,150
,4.348,480
,4.389,-520
,4.430,-890
,4.471,80
,4.512,510
,4.553,-450
,4.594,-930
,4.635,10
,4.676,540
,4.717,-400
,4.758,-960
,4.799,-50
,4.840,560
,4.881,-320
,4.922,-970
,4.963,-130
,5.004,570
,5.045,-260
,5.086,-980
,5.127,-190
,5.168,590
,5.209,-200
,5.250,-990
,5.291,-250
,5.332,570
,5.373,-150
,5.414,-980
,5.455,-310
,5.496,570
,5.537,-50
,5.578,-970
,5.619,-370
,5.660,560
,5.701,0
,5.742,-950
,5.783,-440
,5.824,520
,5.865,60
,5.906,-900
,5.947,-490
,5.989,480
,6.030,120
,6.071,-870
,6.112,-570
,6.153,440
,6.194,190
,6.235,-810
,6.276,-630
,6.317,380
,6.358,240
,6.399,-770
,6.440,-680
,6.481,320
,6.522,310
,6.563,-710
,6.604,-740
,6.645,270
,6.686,360
,6.727,-640
,6.768,-800
,6.809,190
,6.850,430
,6.891,-570
,6.932,-850
,6.973,140
,7.014,470
,7.055,-520
,7.096,-890
,7.137,70
,7.178,510
,7.219,-450
,7.260,-930
,7.301,0
,7.342,540
,7.383,-390
,7.424,-970
,7.465,-70
,7.506,560
,7.547,-320
,7.588,-970
,7.629,-130
,7.670,590
,7.711,-260
,7.752,-980
,7.793,-190
,7.834,580
,7.875,-200
,7.916,-980
,7.957,-250
,7.998,580
,8.039,-130
,8.080,-980
,8.121,-320
,8.162,560
,8.203,-40
,8.244,-970
,8.285,-370
,8.326,550
,8.368,-160
,8.409,-970
,8.450,-390
,8.491,540
,8.532,10
,8.573,-930
,8.614,-450
,8.655,510
,8.696,70
,8.737,-890
,8.778,-510
,8.819,470
,8.860,140
,8.901,-840
,8.942,-580
,8.983,410
,9.024,210
,9.065,-800
,9.106,-640
,9.147,360
,9.188,250
,9.229,-740
,9.270,-710
,9.311,300
,9.352,310
,9.393,-810
,9.434,-720
,9.475,280
,9.516,330
,9.557,-680
,9.598,-780
,9.639,230
,9.680,390
,9.721,-610
,9.762,-830
,9.803,150
,9.844,440
,9.885,-530
,9.926,-870
,9.967,100
,10.008,480
,10.049,-490
,10.090,-920
,10.131,30
,10.172,520
,10.213,-410
,10.254,-950
,10.295,-30
,10.336,550
,10.377,-360
,10.418,-890
,10.459,60
,0.000,106
,95.234,47
,190.469,5
,285.703,4
,380.938,4
,476.172,4
,571.406,4
,666.641,5
,761.875,1
,857.109,4
,952.344,4
,1047.578,4
,1142.813,4
,1238.047,2
,1333.281,4
,1428.516,4
,1523.750,3
,1618.984,2
,1714.219,3
,1809.453,3
,1904.688,3
,1999.922,2
,2095.156,4
,2190.391,3
,2285.625,3
,2380.859,2
,2476.094,3
,2571.328,1
,2666.563,3
,2761.797,2
,2857.031,4
,2952.266,3
,3047.500,1
,3142.734,2
,3237.969,2
,3333.203,1
,3428.438,1
,3523.672,2
,3618.906,2
,3714.141,3
,3809.375,1
,3904.609,1
,3999.844,2
,4095.078,2
,4190.313,3
,4285.547,1
,4380.781,2
,4476.016,3
,4571.250,2
,4666.484,1
,4761.719,0
,4856.953,2
,4952.188,2
,5047.422,1
,5142.656,2
,5237.891,3
,5333.125,1
,5428.359,3
,5523.594,2
,5618.828,2
,5714.063,1
,5809.297,1
,5904.531,94
,5999.766,188
,6095.000,97
,6190.234,1
,6285.469,5
,6380.703,8
,6475.938,5
,6571.172,1
,6666.406,0
,6761.641,2
,6856.875,0
,6952.109,0
,7047.344,1
,7142.578,1
,7237.813,1
,7333.047,0
,7428.281,1
,7523.516,1
,7618.750,2
,7713.984,1
,7809.219,1
,7904.453,1
,7999.688,2
,8094.922,1
,8190.156,2
,8285.391,2
,8380.625,2
,8475.859,1
,8571.094,1
,8666.328,1
,8761.563,1
,8856.797,2
,8952.031,2
,9047.266,1
,9142.500,1
,9237.734,1
,9332.969,2
,9428.203,1
,9523.438,0
,9618.672,1
,9713.906,1
,9809.141,0
,9904.375,1
,9999.609,1
,10094.844,1
,10190.078,1
,10285.313,1
,10380.547,1
,10475.781,2
,10571.016,2
,10666.250,1
,10761.484,1
,10856.719,0
,10951.953,1
,11047.188,1
,11142.422,0
,11237.656,1
,11332.891,1
,11428.125,1
,11523.359,1
,11618.594,0
,11713.828,2
,11809.063,1
,11904.297,1
,11999.531,0
,12094.766,1
,
